Category: All categories

Day,bitcoin: (Worldwide)
2024-01-01,31
2024-01-02,49
2024-01-03,52
2024-01-04,44
2024-01-05,44
2024-01-06,36
2024-01-07,36
2024-01-08,49
2024-01-09,58
2024-01-10,85
2024-01-11,91
2024-01-12,60
2024-01-13,44
2024-01-14,36
2024-01-15,38
2024-01-16,37
2024-01-17,34
2024-01-18,36
2024-01-19,36
2024-01-20,30
2024-01-21,28
2024-01-22,35
2024-01-23,39
2024-01-24,33
2024-01-25,31
2024-01-26,31
2024-01-27,26
2024-01-28,25
2024-01-29,28
2024-01-30,30
2024-01-31,28
2024-02-01,26
2024-02-02,26
2024-02-03,24
2024-02-04,24
2024-02-05,26
2024-02-06,25
2024-02-07,25
2024-02-08,30
2024-02-09,38
2024-02-10,30
2024-02-11,32
2024-02-12,42
2024-02-13,45
2024-02-14,48
2024-02-15,46
2024-02-16,39
2024-02-17,34
2024-02-18,32
2024-02-19,34
2024-02-20,35
2024-02-21,33
2024-02-22,32
2024-02-23,30
2024-02-24,27
2024-02-25,28
2024-02-26,38
2024-02-27,62
2024-02-28,96
2024-02-29,86
2024-03-01,62
2024-03-02,51
2024-03-03,48
2024-03-04,90
2024-03-05,100
2024-03-06,78
2024-03-07,65
2024-03-08,63
2024-03-09,55
2024-03-10,56
2024-03-11,83
2024-03-12,73
2024-03-13,71
2024-03-14,65
2024-03-15,67
2024-03-16,54
2024-03-17,53
2024-03-18,53
2024-03-19,65
2024-03-20,62
2024-03-21,54
2024-03-22,47
2024-03-23,43
2024-03-24,42
2024-03-25,55
2024-03-26,50
2024-03-27,47
2024-03-28,47
2024-03-29,47
2024-03-30,39
2024-03-31,39
2024-04-01,43
2024-04-02,52
2024-04-03,44
2024-04-04,42
2024-04-05,41
2024-04-06,35
2024-04-07,36
2024-04-08,47
2024-04-09,42
2024-04-10,42
2024-04-11,42
2024-04-12,44
2024-04-13,53
2024-04-14,57
2024-04-15,54
2024-04-16,51
2024-04-17,51
2024-04-18,54
2024-04-19,81
2024-04-20,72
2024-04-21,44
2024-04-22,45
2024-04-23,38
2024-04-24,37
2024-04-25,36
2024-04-26,33
2024-04-27,31
2024-04-28,30
2024-04-29,33
2024-04-30,38
2024-05-01,47
2024-05-02,39
2024-05-03,37
2024-05-04,33
2024-05-05,30
2024-05-06,34
2024-05-07,31
2024-05-08,31
2024-05-09,29
2024-05-10,30
2024-05-11,27
2024-05-12,26
2024-05-13,31
2024-05-14,29
2024-05-15,31
2024-05-16,33
2024-05-17,33
2024-05-18,28
2024-05-19,27
2024-05-20,35
2024-05-21,41
2024-05-22,34
2024-05-23,33
2024-05-24,33
2024-05-25,27
2024-05-26,27
2024-05-27,30
2024-05-28,29
2024-05-29,28
2024-05-30,28
2024-05-31,27
2024-06-01,23
2024-06-02,24
2024-06-03,29
2024-06-04,29
2024-06-05,34
2024-06-06,31
2024-06-07,32
2024-06-08,27
2024-06-09,25
2024-06-10,28
2024-06-11,35
2024-06-12,30
2024-06-13,29
2024-06-14,28
2024-06-15,24
2024-06-16,25
2024-06-17,28
2024-06-18,30
2024-06-19,28
2024-06-20,26
2024-06-21,26
2024-06-22,22
2024-06-23,23
2024-06-24,36
2024-06-25,33
2024-06-26,27
2024-06-27,25
2024-06-28,27
2024-06-29,22
2024-06-30,22
2024-07-01,26
2024-07-02,23
2024-07-03,28
2024-07-04,36
2024-07-05,44
2024-07-06,29
2024-07-07,28
2024-07-08,32
2024-07-09,30
2024-07-10,31
2024-07-11,33
2024-07-12,32
2024-07-13,25
2024-07-14,32
